Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
Brazil,2019,99.8,95.8,684.92,50980000.0,47.57,90.91,15.16,512.59,85.30534,16681.945,3.93,434299.9878,47.304844,1.411152985,8897.552966,25,8515770.0,-14.235004,-51.92528
Canada,2019,100.0,100.0,,,22.11,110.65,95.47,421.8,82.378334,107980.76,6.94,580210.022,28.586376,1.879592028,46338.34096,4,9984670.0,56.130366,-106.346771
China,2019,100.0,77.6,529.28,201540000.0,14.45,5098.22,348.7,2014.57,31.672895,28277.445,6.31,10707219.73,13.51596,5.949714233,10143.83817,153,9596960.0,35.86166,104.195397
France,2019,100.0,100.0,,,15.53,53.5,399.01,113.21,90.54302,42326.785,3.29,300519.989,12.384905,1.842971814,40578.64429,119,643801.0,46.227638,2.213749
Germany,2019,100.0,100.0,,,17.17,284.09,75.07,240.33,52.611385,44467.746,2.76,657400.0244,18.768305,1.055508247,46794.89929,240,357022.0,51.165691,10.451526
India,2019,97.308266,63.9,93.89,786330000.0,32.93,1273.59,45.16,303.16,21.475914,6731.805,4.28,2456300.049,8.849619,4.041554187,2100.751461,464,3287263.0,20.593684,78.96288
Japan,2019,100.0,100.0,,,7.69,735.66,63.88,192.72,25.860157,40868.688,3.33,1081569.946,9.565927,0.270304645,40777.6087,347,377944.0,36.204824,138.252924
Norway,2019,100.0,100.0,,,62.37,2.76,0.0,131.07,97.93769,96392.5,3.33,35950.00076,67.08509,0.745798219,75719.7529,15,323802.0,60.472024,8.468946
United Kingdom,2019,100.0,100.0,,,12.24,144.99,56.18,120.48,54.923054,32893.76,2.3,348920.0134,16.24154,1.671944197,43070.49836,281,243610.0,55.378051,-3.435973
United States,2019,100.0,100.0,,,10.42,2588.21,809.41,760.76,37.75918,79489.016,4.51,4817720.215,9.315263,2.161176515,65279.52903,36,9833517.0,37.09024,-95.712891
